NAMA MESIN,KATEGORI,DESCRIPTION SPAREPART,PART NUMBER,QTY,NO. IN MANUAL BOOK,KATEGORI,DOCUMENT,SUPPLIER,NAMA,KONTAK,EMAIL,ALAMAT,,,,,
,,plug link 1603/3 SZ,3.0000.9592,4,104,,5.4313.0357,,,,,,,,,,
,,outer flap,3.0000.1608,182,105,,5.4313.0357,,,,,,,,,,
,,outer flap,3.0001.2277,182,106,,5.4313.0357,,,,,,,,,,
,folding box magazine various parts,upper plate 80x15x X,4.4401.0003,1,1,,5.4401.0013,,,,,,,,,,
,,head plate 40x15x X,4.4401.0014,1,5,,5.4401.0013,,,,,,,,,,
,,bottom plate 40x15x X,4.4401.0005,1,9,,5.4401.0013,,,,,,,,,,
,,shaft Ø15x X,4.4401.0030,1,18,,5.4401.0013,,,,,,,,,,
,"box magazine belt with toothed belt standard parts, large",side plate right 60x15x2025,4.4401.1339,1,1,,5.4401.0200,,,,,,,,,,
,,side wall left 60x15x2025,4.4401.1340,1,2,,5.4401.0200,,,,,,,,,,
,,toothed pulley tensioning side LS 40 T10 22-2,4.4401.1255,4,3,,5.4401.0200,,,,,,,,,,
,,tension piece 20x20x50,4.4401.0095,2,4,,5.4401.0200,,,,,,,,,,
,,housing 70x70x35,4.4401.0009,4,5,,5.4401.0200,,,,,,,,,,
,,spur gear SNB 2020 D=15,4.4401.0107,4,6,,5.4401.0200,,,,,,,,,,
,,knurled knob di=15 Ø40x100,4.4401.0219,2,7,,5.4401.0200,,,,,,,,,,
,,shaft for spur gear Ø15xX,4.4401.0615,1,8,,5.4401.0200,,,,,,,,,,
,,clamping plate right 70x70x15,4.4401.0010,1,9,,5.4401.0200,,,,,,,,,,
,,clamping plate left 70x70x15,4.4401.0404,1,10,,5.4401.0200,,,,,,,,,,
,,"round rail, operation side Ø20x825",4.4401.0251,1,11,,5.4401.0200,,,,,,,,,,
,,bearing holder 60x20x60,4.4302.0161,1,12,,5.4401.0200,,,,,,,,,,
,,toothed pulley drive LS 40 T10 22-2,4.4401.1256,4,13,,5.4401.0200,,,,,,,,,,
,,motor distance Ø26x13,4.4302.0241,1,14,,5.4401.0200,,,,,,,,,,
,,bearing holder motor side 60x20x60,4.4302.0160,1,15,,5.4401.0200,,,,,,,,,,
,,torque support 80x10x180,4.4302.0167,1,16,,5.4401.0200,,,,,,,,,,
,,"round rail, stopper side Ø20x2185",4.4401.0096,1,17,,5.4401.0200,,,,,,,,,,
,,vertical shaft Ø20x150,4.4401.0106,4,18,,5.4401.0200,,,,,,,,,,
,,"clamp, insertion side 40x30x56",4.4401.0103,2,19,,5.4401.0200,,,,,,,,,,
,,bearing pin for support roller M10x35,4.4401.0099,2,20,,5.4401.0200,,,,,,,,,,
,,washer Ø30,4.0002.0013,3,21,,5.4401.0200,,,,,,,,,,
,,"holding angle 2x44,4x1875 (Laserteil)",4.4401.1260,2,23,,5.4401.0200,,,,,,,,,,
,,round toothed rack Ø20xX,4.4401.0335,2,24,,5.4401.0200,,,,,,,,,,
,,shaft for spur gear Ø15xX,4.4401.0615,1,25,,5.4401.0200,,,,,,,,,,
,,protection clamp 40x30x59,4.4401.0727,2,26,,5.4401.0200,,,,,,,,,,
,,cable mounting magazine conveyor Ø10 x 1700,4.4401.1279,1,27,,5.4401.0200,,,,,,,,,,
,,holding angle magazin disc 40x5x134,4.4401.1676,2,28,,5.4401.0200,,,,,,,,,,
,,worm - spur gear motor,3.0000.0780,1,100,,5.4401.0200,,,,,,,,,,
,,elastic metal Ø40x30 design. C,3.0000.0650,1,101,,5.4401.0200,,,,,,,,,,
,,"clamping lever, adjustable",3.0000.0429,2,102,,5.4401.0200,,,,,,,,,,
,,adjusting ring,3.0000.0185,4,103,,5.4401.0200,,,,,,,,,,
,,slide bearing,3.0001.2629,8,104,,5.4401.0200,,,,,,,,,,
,,ball joint bearing,3.0000.0547,2,105,,5.4401.0200,,,,,,,,,,
,,toothed belt,3.0000.0941,4,106,,5.4401.0200,,,,,,,,,,
,,fitting key,3.0000.0281,1,107,,5.4401.0200,,,,,,,,,,
,,slide bearing,3.0001.2720,8,108,,5.4401.0200,,,,,,,,,,
,,slide bearing,3.0001.2719,4,109,,5.4401.0200,,,,,,,,,,
,,guard ring,3.0000.0158,8,110,,5.4401.0200,,,,,,,,,,
,,digital display,3.0000.6474,1,113,,5.4401.0200,,,,,,,,,,
,,digital display,3.0000.4440,1,114,,5.4401.0200,,,,,,,,,,
,,shim ring,3.0000.3985,8,116,,5.4401.0200,,,,,,,,,,
,,distance bolt AM 6x20 SW 10,3.0000.0001,3,117,,5.4401.0200,,,,,,,,,,
,,bow - type handle,3.0000.0317,1,118,,5.4401.0200,,,,,,,,,,
,"box magazine belt 300mm, toothed belt, large, NORD",distance piece 30x10xC,4.4401.0419,4,30,,5.4401.0201,,,,,,,,,,
,,tensioning axle magazine belt 300 Ø25x335,4.4401.1257,1,31,,5.4401.0201,,,,,,,,,,
,,guide plate magazine belt 300 10x1945x300,4.4401.1259,1,32,,5.4401.0201,,,,,,,,,,
,,clamp 40x30xX,4.4401.0102,2,33,,5.4401.0201,,,,,,,,,,
,,hexagonal drive shaft SW24x444,4.4401.1258,1,34,,5.4401.0201,,,,,,,,,,
,,toothed belt support roller Ø20xC,4.4401.0425,1,35,,5.4401.0201,,,,,,,,,,
,,cover magazine conveyor 300,4.4401.1262,1,36,,5.4401.0201,,,,,,,,,,
,,round toothed rack Ø20xX,4.4401.0335,2,37,,5.4401.0201,,,,,,,,,,
,,"base plate 300, box retainer 100x10x330",4.4401.1555,1,38,,5.4401.0201,,,,,,,,,,
,,"guide ledge, box retainer 10x20x100",4.4401.1557,2,39,,5.4401.0201,,,,,,,,,,
,,"support, box retainer",4.4401.1350,1,40,,5.4401.0201,,,,,,,,,,
,folding box magazine standard parts,side plate left 80x15x530,4.4401.0001,1,2,,5.4401.0222,,,,,,,,,,
,,housing 70x70x35,4.4401.0009,2,3,,5.4401.0222,,,,,,,,,,
,,ledge 35x15x94,4.4401.0013,2,4,,5.4401.0222,,,,,,,,,,
,,box guide (top) 20x15x240,4.4401.0007,4,6,,5.4401.0222,,,,,,,,,,
,,holder for round toothed rack 40x15x62,4.4401.0253,2,7,,5.4401.0222,,,,,,,,,,
,,conveyor belt connection plate 80x15x210,4.4401.0002,2,8,,5.4401.0222,,,,,,,,,,
,,bottom plate connection 40x15x114,4.4401.0004,2,10,,5.4401.0222,,,,,,,,,,
,,clamping plate left 70x70x15,4.4401.0404,1,11,,5.4401.0222,,,,,,,,,,
,,adjusting wheel Ø60x40,4.4301.0051,1,12,,5.4401.0222,,,,,,,,,,
,,initiator holder 35x15x151,4.4401.0104,1,14,,5.4401.0222,,,,,,,,,,
,,box guide (bottom) 15x15x151,4.4401.0022,2,15,,5.4401.0222,,,,,,,,,,
,,"box guide bottom, left 15x15x151",4.4401.0109,1,16,,5.4401.0222,,,,,,,,,,
,,conveyor belt connection piece 15x15x160,4.4401.0024,2,17,,5.4401.0222,,,,,,,,,,
,,round toothed rack Ø20x395,4.4401.0011,2,19,,5.4401.0222,,,,,,,,,,
,,spur gear SNB 2020 D=15,4.4401.0107,2,20,,5.4401.0222,,,,,,,,,,
,,side plate right 80x15x530,4.4401.1191,1,21,,5.4401.0222,,,,,,,,,,
,,scale pointer 1x20x55,4.4401.1087,1,22,,5.4401.0222,,,,,,,,,,
,,"box guide bottom, left 15x15x151",4.4401.0105,1,25,,5.4401.0222,,,,,,,,,,
,,slide bearing,3.0001.2720,4,100,,5.4401.0222,,,,,,,,,,
,,slide bearing,3.0001.2719,2,101,,5.4401.0222,,,,,,,,,,
,,"clamping lever, adjustable",3.0000.0429,1,102,,5.4401.0222,,,,,,,,,,
,,adjusting ring,3.0000.0185,1,103,,5.4401.0222,,,,,,,,,,
,pivot arm for operation panel,tubular arch 90°,4.6002.0127,1,1,,5.6002.0044,,,,,,,,,,
,,nut Ø68x20,4.6002.0003,1,2,,5.6002.0044,,,,,,,,,,
,,control panel connection AB PanelView 1000 Plus Ø100x60,4.6002.0021,1,3,,5.6002.0044,,,,,,,,,,
,,plate for operation panel 100x83x35,4.6002.0043,1,4,,5.6002.0044,,,,,,,,,,
,,gallows guide Ø100x100,4.6002.0023,1,5,,5.6002.0044,,,,,,,,,,
,,slip ring Ø80x5,4.6002.0048,2,6,,5.6002.0044,,,,,,,,,,
,,intermediate ring Ø60x10,4.6002.0119,1,7,,5.6002.0044,,,,,,,,,,
,,screwed ring for cable fairlead Ø80x10,4.6002.0129,1,8,,5.6002.0044,,,,,,,,,,
,,cover for cable entry Ø80x15,4.6002.0130,1,9,,5.6002.0044,,,,,,,,,,
,,"cable gland M40x1,5 grey, KU",3.0000.2913,1,100,,5.6002.0044,,,,,,,,,,
,,"bow - type handle, Elesa",3.0000.0318,1,101,,5.6002.0044,,,,,,,,,,
,pneumatic control for HK II-B,distribution piece 30x30x145,4.6101.0001,1,1,,5.6101.0175,,,,,,,,,,
,,thread plate 40x5x100,4.6101.0006,1,2,,5.6101.0175,,,,,,,,,,
,,filter control valve LFR-1/4-KD,3.0001.2632,1,100,,5.6101.0175,,,,,,,,,,
,,socket cable KMEB-2-24-5-LED,3.0001.2209,1,101,,5.6101.0175,,,,,,,,,,
,,pressure sensor SDE5-D10-O-Q6E-P-M8 527467,3.0000.8807,1,102,,5.6101.0175,,,,,,,,,,
,,solenoid valve MFH-3-3/4-S,3.0000.1072,1,103,,5.6101.0175,,,,,,,,,,
,,solenoid MSFG-24/42-50/60,3.0000.1070,1,104,,5.6101.0175,,,,,,,,,,
,,"muffler U-3/4""",3.0000.1099,1,105,,5.6101.0175,,,,,,,,,,
,,"vacuum pump VT 4.25 DS-motor 0,75/0,9KW with control valve",3.0000.0833,1,106,,5.6101.0175,,,,,,,,,,
,,solenoid valve (5/3 way vented),3.0000.9763,1,107,,5.6101.0175,,,,,,,,,,
,,muffler SD 18 sinterbronze,3.0000.1097,8,108,,5.6101.0175,,,,,,,,,,
,,non-return valve,3.0000.1779,1,109,,5.6101.0175,,,,,,,,,,
,,throttle check valve GRL 1/4,3.0000.9134,2,110,,5.6101.0175,,,,,,,,,,
,,swivel rings,3.0000.1115,2,111,,5.6101.0175,,,,,,,,,,
,,solenoid valve (5/2 way impulse valve),3.0000.9762,3,112,,5.6101.0175,,,,,,,,,,
,,distributor ledge VB 914 A,3.0000.1133,1,113,,5.6101.0175,,,,,,,,,,
,,filter control valve LR-1/4,3.0000.1570,1,114,,5.6101.0175,,,,,,,,,,
,,solenoid valve (3/2 way spring return closed),3.0001.0285,1,115,,5.6101.0175,,,,,,,,,,
,control cabinet 2000x850x400,housing 2000x850x393,4.6402.0390,1,1,,5.6402.0063,,,,,,,,,,
,,control cabinet door left 2x882x705 (Laserteil),4.6402.0209,1,2,,5.6402.0063,,,,,,,,,,
,,control cabinet door middle 2x882x686 (Laserteil),4.6402.0210,1,3,,5.6402.0063,,,,,,,,,,
,,control cabinet door right 2x882x686 (Laserteil),4.6402.0430,1,4,,5.6402.0063,,,,,,,,,,
,,control cabinet 2000x380x120,4.6402.0376,1,5,,5.6402.0063,,,,,,,,,,
,,retaining sheet board 2000 3x800x1950,4.6402.0215,1,6,,5.6402.0063,,,,,,,,,,
,,holder bord control cabinet Ø15x15,4.6403.0011,6,7,,5.6402.0063,,,,,,,,,,
,,"cover plate Bl.1,5x84x535",4.6402.0428,1,8,,5.6402.0063,,,,,,,,,,
,,hinge 1056-U10,3.0000.0600,4,100,,5.6402.0063,,,,,,,,,,
,,hinge 1056-U6,3.0000.0602,4,101,,5.6402.0063,,,,,,,,,,
,,ELESA-hinge,3.0001.2709,2,102,,5.6402.0063,,,,,,,,,,
,,lock with dual bit GN 115-VDE-28,3.0000.8773,4,103,,5.6402.0063,,,,,,,,,,
,,lock with dual bit GN 115-VDE-13,3.0001.3309,2,104,,5.6402.0063,,,,,,,,,,
,"frame HK-II-B 10""/L","frame HK-II-B 10""/L",4.7201.1351,1,1,,5.7201.0311,,,,,,,,,,
,,additional frame insertion right,4.7201.1353,1,2,,5.7201.0311,,,,,,,,,,
,,frame insertion,4.7201.1354,1,3,,5.7201.0311,,,,,,,,,,
,,holding angle insertion 1 50x50x5x193,4.7201.1303,1,4,,5.7201.0311,,,,,,,,,,
,,holding angle insertion 2 50x50x5x194,4.7201.1304,1,5,,5.7201.0311,,,,,,,,,,
,,connection insertion 2 50x50x5x60,4.7201.1184,2,6,,5.7201.0311,,,,,,,,,,
,,console rotary box erector,4.7201.1334,1,7,,5.7201.0311,,,,,,,,,,
,,console product leveller,4.7201.1337,1,8,,5.7201.0311,,,,,,,,,,
,,console glue applicator,4.7301.1950,1,9,,5.7201.0311,,,,,,,,,,
,,bridge for tower,4.7201.1355,2,10,,5.7201.0311,,,,,,,,,,
,,holder for indicator light 5x60x100,4.7301.0103,1,11,,5.7201.0311,,,,,,,,,,
,,"holder emergency switch, cartoner exit 3x80x130",4.7301.2148,1,12,,5.7201.0311,,,,,,,,,,
,,guide scissors flap 30x10x170,4.7301.1046,4,13,,5.7201.0311,,,,,,,,,,
,,thread ledge drive 40x15x655,4.7201.1115,2,14,,5.7201.0311,,,,,,,,,,
,,thread ledge carrier shaft 40x15x120,4.7201.1117,2,15,,5.7201.0311,,,,,,,,,,
,,"thread ledge flap folder 40x15x277,5",4.7201.1118,1,16,,5.7201.0311,,,,,,,,,,
,,thread ledge drive bottom 40x15x280,4.7201.1116,1,17,,5.7201.0311,,,,,,,,,,
,,console top guide way,4.7201.1120,1,18,,5.7201.0311,,,,,,,,,,
,,tensioner drive,4.7201.1121,1,19,,5.7201.0311,,,,,,,,,,
,,tensioner drive,4.7201.1122,1,20,,5.7201.0311,,,,,,,,,,
,,tensioner drive flap folder,4.7201.1123,1,21,,5.7201.0311,,,,,,,,,,
,,support middle wall 299mm,4.7201.1113,2,22,,5.7201.0311,,,,,,,,,,
,,compensating plate 50x10x170,4.7201.1105,2,23,,5.7201.0311,,,,,,,,,,
,,holder rotary box erector 40x30x225,4.7201.1119,1,24,,5.7201.0311,,,,,,,,,,
,,"compensating pedestal bearing 15 30x12,7x125",4.4101.0194,1,25,,5.7201.0311,,,,,,,,,,
,,guard cover infeeder up,4.7301.1655,2,27,,5.7201.0311,,,,,,,,,,
,,guard cover infeeder bottom,4.7301.1656,2,28,,5.7201.0311,,,,,,,,,,
,,guard cover,4.7301.1658,1,29,,5.7201.0311,,,,,,,,,,
,,guard cover,4.7301.1660,1,30,,5.7201.0311,,,,,,,,,,
,,guard cover,4.7301.1659,1,31,,5.7201.0311,,,,,,,,,,
,,guard cover insertion,4.7301.1662,1,32,,5.7201.0311,,,,,,,,,,
,,"cover sheet 248x888x30x1,5 (Laserteil)",4.7301.1519,1,33,,5.7201.0311,,,,,,,,,,
,,"cover sheet 248x688x30x1,5 (Laserteil)",4.7301.1185,1,34,,5.7201.0311,,,,,,,,,,
,,"cover sheet adjustment tower rear 475x460x30x1,5",4.7301.2128,1,35,,5.7201.0311,,,,,,,,,,
,,"cover sheet 248x213x30x1,5",4.7301.1666,1,36,,5.7201.0311,,,,,,,,,,
,,"cover sheet 344x1903x30x1,5",4.7301.1667,1,37,,5.7201.0311,,,,,,,,,,
,,"Verkleidungsblech 344x538x30x1,5",4.7301.1668,2,38,,5.7201.0311,,,,,,,,,,
,,"cover sheet 248x688x30x1,5 (Laserteil)",4.7301.0961,1,39,,5.7201.0311,,,,,,,,,,
,,"cover sheet 268x900x30x1,5",4.7301.1669,3,40,,5.7201.0311,,,,,,,,,,
,,"cover sheet 268x1903x30x1,5",4.7301.1670,1,41,,5.7201.0311,,,,,,,,,,
,,"cover sheet adjustment tower top 368x543x70x1,5",4.7301.2127,1,42,,5.7201.0311,,,,,,,,,,
,,"cover sheet 268x98x30x1,5",4.7301.1654,1,43,,5.7201.0311,,,,,,,,,,
,,"cover sheet 268x900x30x1,5",4.7301.1685,1,44,,5.7201.0311,,,,,,,,,,
,,machine foot type m M 105-20-150,3.0000.0711,11,100,,5.7201.0311,,,,,,,,,,
,,hinge 1056-U14,3.0000.0601,16,101,,5.7201.0311,,,,,,,,,,
,,"bow - type handle, Elesa GN 525 L=117",3.0000.0318,6,102,,5.7201.0311,,,,,,,,,,
,,lock with square GN 115-VK-36,3.0001.2027,17,103,,5.7201.0311,,,,,,,,,,
,,grate cable tray 2000x120x50,2.0000.1478,8,104,,5.7201.0311,,,,,,,,,,
,,grate cable tray 2000x80x50mm,2.0000.1477,9,105,,5.7201.0311,,,,,,,,,,
,,grate cable tray 2000x50x30mm,2.0000.1474,3,106,,5.7201.0311,,,,,,,,,,
,"adjustment tower for box magazine, large",bearing block 70x60x80,4.7206.0034,1,1,,5.7206.0061,,,,,,,,,,
,,base plate 300x350x15,4.7206.0045,1,2,,5.7206.0061,,,,,,,,,,
,,centre plate 250x412x15,4.7206.0046,1,,,5.7206.0061,,,,,,,,,,
,,distance plate 55x15x275,4.7206.0047,2,4,,5.7206.0061,,,,,,,,,,
,,centre rib 55x15x215,4.7206.0048,1,5,,5.7206.0061,,,,,,,,,,
,,"head plate, pillar frame 210x280x15",4.7206.0050,1,6,,5.7206.0061,,,,,,,,,,
,,"shaft bearing, horizontal 59x59x250",4.7206.0053,2,7,,5.7206.0061,,,,,,,,,,
,,shaft restriction 40x10x210,4.7206.0054,1,8,,5.7206.0061,,,,,,,,,,
,,spindle bearing 40x15x210,4.7206.0055,1,9,,5.7206.0061,,,,,,,,,,
,,knurled handle Ø60x30,4.7206.0056,1,10,,5.7206.0061,,,,,,,,,,
,,bearing for octagonal stop 30x15x130,4.7206.0057,2,11,,5.7206.0061,,,,,,,,,,
,,"sprocket z=16, 1/2"" Ø70x28",4.7206.0059,2,12,,5.7206.0061,,,,,,,,,,
,,adjustment shaft vertical Ø20x150,4.7206.0062,1,13,,5.7206.0061,,,,,,,,,,
,,stopper ledge 20x20x220,4.7206.0070,1,14,,5.7206.0061,,,,,,,,,,
,,bolt for octagonal stopper Ø30x29,4.7206.0078,2,15,,5.7206.0061,,,,,,,,,,
,,washer Ø40x5,4.7206.0079,2,16,,5.7206.0061,,,,,,,,,,
,,hexagonal stopper SW70x30,4.7206.0092,2,17,,5.7206.0061,,,,,,,,,,
,,side plate 15x310x355,4.7206.0131,2,20,,5.7206.0061,,,,,,,,,,
,,vertical drive spindle Tr30x372,4.7206.0133,1,21,,5.7206.0061,,,,,,,,,,
,,vertical drive spindle Tr30x392,4.7206.0134,1,22,,5.7206.0061,,,,,,,,,,
,,horizontal guide shaft Ø30x800,4.7206.0208,2,23,,5.7206.0061,,,,,,,,,,
,,threaded spindle Tr30x193,4.7206.0209,1,24,,5.7206.0061,,,,,,,,,,
,,vertical guide shaft Ø30x405,4.7206.0221,4,25,,5.7206.0061,,,,,,,,,,
,,cable guide,4.7206.0263,1,26,,5.7206.0061,,,,,,,,,,
,,vertical guide 150x70x215,4.7206.0305,2,27,,5.7206.0061,,,,,,,,,,
,,trapezoidal thread nut WFRM 3846 TR30x6,4.7206.0307,3,29,,5.7206.0061,,,,,,,,,,
,,bevel gear,4.7209.0014,2,30,,5.7206.0061,,,,,,,,,,
,,washer Ø30x5,4.0002.0013,1,31,,5.7206.0061,,,,,,,,,,
,,tensioning axle Ø30x35,4.4104.0024,1,32,,5.7206.0061,,,,,,,,,,
,,distance I Ø30x20,4.4101.0664,2,33,,5.7206.0061,,,,,,,,,,
,,grooved ball bearing 6004-2RS,3.0000.0491,2,100,,5.7206.0061,,,,,,,,,,
,,slide bearing MFM-2026-15,3.0001.2738,5,101,,5.7206.0061,,,,,,,,,,
,,slide bearing GSM-3034-25,3.0001.2739,16,102,,5.7206.0061,,,,,,,,,,
,,guard ring A 20,3.0000.4300,3,103,,5.7206.0061,,,,,,,,,,
,,"roller chain 1/2x5/16"" (p=12,7) SZ",3.0000.0738,"647,70 mm",104,,5.7206.0061,,,,,,,,,,
,,"shim ring 20x28x1,0",3.0000.0280,1,105,,5.7206.0061,,,,,,,,,,
,,"shim ring 20x28x0,1",3.0000.1911,1,106,,5.7206.0061,,,,,,,,,,
,,fitting key 6x6x20,3.0000.0278,2,107,,5.7206.0061,,,,,,,,,,
,,fitting key 6x6x25,3.0000.4428,2,108,,5.7206.0061,,,,,,,,,,
,,"clamping lever, adjustable GN 300-63-M8-20-OR",3.0000.0422,2,109,,5.7206.0061,,,,,,,,,,
,,crank handle DIN468-125-V17 F,3.0000.0420,1,110,,5.7206.0061,,,,,,,,,,
,,"connecting link 1/2x5/16"" single roller chain",3.0000.4900,1,111,,5.7206.0061,,,,,,,,,,
,"adjustment tower for box magazine, large, various parts",adjustment guide II X=300 60x60x X,4.7206.0121,1,18,,5.7206.0062,,,,,,,,,,
,,side wall holder 60x20x97,4.7206.0122,4,19,,5.7206.0062,,,,,,,,,,
,,adjustment guide I X=300 60x60x X,4.7206.0306,1,28,,5.7206.0062,,,,,,,,,,
,pneumatic lock HK-II,guide block pneumatic lock 44x35x60,4.7301.1864,3,1,,5.7301.0147,,,,,,,,,,
,,lock bolt Ø12x42,4.7301.1680,3,2,,5.7301.0147,,,,,,,,,,
,,angle guard control,4.7301.1682,3,3,,5.7301.0147,,,,,,,,,,
,,holder magnet RST 36 20x6x130,4.7301.1675,3,4,,5.7301.0147,,,,,,,,,,
,,holding angle RSS 36 2x80x90,4.7301.1677,3,5,,5.7301.0147,,,,,,,,,,
,,thread ledge 4x10x90,4.7301.1673,3,6,,5.7301.0147,,,,,,,,,,
,,holder pneumatic lock 4x60x64,4.7301.1865,3,7,,5.7301.0147,,,,,,,,,,
,,thread ledge 4x14x58,4.7301.1866,3,8,,5.7301.0147,,,,,,,,,,
,,flange cylinder EFK-16-25-P,3.0001.3980,3,100,,5.7301.0147,,,,,,,,,,
,,slide bearing WSM-1214-25,3.0001.3998,3,101,,5.7301.0147,,,,,,,,,,
,,"washer Ø 8,4 ",3.0000.8788,6,102,,5.7301.0147,,,,,,,,,,
,pneumatic lock,guide block pneumatic lock 44x35x60,4.7301.1864,3,1,,5.7301.0165,,,,,,,,,,
,,lock bolt Ø12x39,4.7301.1680,3,2,,5.7301.0165,,,,,,,,,,
,,angle guard control,4.7301.1682,3,3,,5.7301.0165,,,,,,,,,,
,,holder for guide block 6x30x130,4.7301.2070,3,4,,5.7301.0165,,,,,,,,,,
,,holder magnet RST 36 20x6x130,4.7301.1675,3,5,,5.7301.0165,,,,,,,,,,
,,holder RSS 36 6x45x163,4.7301.1676,3,6,,5.7301.0165,,,,,,,,,,
,,disc Ø21xØ16x8,4.7301.1679,6,7,,5.7301.0165,,,,,,,,,,
,,flange cylinder EFK-16-25-P,3.0001.3980,3,100,,5.7301.0165,,,,,,,,,,
,,slide bearing WSM-1214-25,3.0001.3998,3,101,,5.7301.0165,,,,,,,,,,
,cassette conveyor cover sheet HK left,light barrier holder 30x10x75,4.4307.0416,1,1,,5.7306.0017,,,,,,,,,,
,,mirror distance 3x8x32,4.4307.1199,2,2,,5.7306.0017,,,,,,,,,,
,,mirror protection 2x35x92,4.4307.2425,1,3,,5.7306.0017,,,,,,,,,,
,,cover sheet cassette conveyor 2x724x182,4.7306.0258,1,4,,5.7306.0017,,,,,,,,,,
,,cover sheet cassette conveyor 2x637x1426,4.7306.0257,1,5,,5.7306.0017,,,,,,,,,,
,,cover sheet cassette conveyor 2x637x750,4.7306.0247,2,6,,5.7306.0017,,,,,,,,,,
,,cover sheet cassette conveyor 2x637x750,4.7306.0248,2,7,,5.7306.0017,,,,,,,,,,
,,cover sheet cassette conveyor 2x637x1325,4.7306.0261,1,8,,5.7306.0017,,,,,,,,,,
,,cover sheet cassette conveyor 2x637x1325,4.7306.0259,1,9,,5.7306.0017,,,,,,,,,,
,,cover sheet cassette conveyor 2x637x1087,4.7306.0251,1,10,,5.7306.0017,,,,,,,,,,
,,cover sheet cassette conveyor 2x637x1087,4.7306.0252,1,11,,5.7306.0017,,,,,,,,,,
,,cover sheet cassette conveyor 2x637x757,4.7306.0347,1,12,,5.7306.0017,,,,,,,,,,
,,guard cover clamping unit,4.7306.0256,1,13,,5.7306.0017,,,,,,,,,,
,,cover sheet cassette conveyor 2x637x757,4.7306.0345,1,14,,5.7306.0017,,,,,,,,,,
,,cover sheet cassette conveyor 2x637x1087,4.7306.0263,1,15,,5.7306.0017,,,,,,,,,,
,,cover sheet cassette conveyor 2x637x1087,4.7306.0264,1,16,,5.7306.0017,,,,,,,,,,
,,cover sheet cassette conveyor 2x637x1325,4.7306.0245,1,17,,5.7306.0017,,,,,,,,,,
,,cover sheet cassette conveyor 2x637x1325,4.7306.0250,1,18,,5.7306.0017,,,,,,,,,,
,,cover sheet cassette conveyor 2x637x1426,4.7306.0246,1,19,,5.7306.0017,,,,,,,,,,
,,cover sheet cassette conveyor 2x182x1169,4.7306.0244,1,20,,5.7306.0017,,,,,,,,,,
,,"thread ledge guard cover 5x13,5x40",4.7306.0243,6,21,,5.7306.0017,,,,,,,,,,
,,thread ledge 4x10x90,4.7301.1673,3,22,,5.7306.0017,,,,,,,,,,
,,cover sheet cassette conveyor 2x400x379x117,4.7306.0089,1,23,,5.7306.0017,,,,,,,,,,
,,"cover cassette conveyor 2x707,5x379x117",4.7306.0262,2,24,,5.7306.0017,,,,,,,,,,
,,"window cover cassette conveyor 6x376,5x607,5",4.7306.0255,2,25,,5.7306.0017,,,,,,,,,,
,,"flap 6x367,5x300",4.7306.0080,1,26,,5.7306.0017,,,,,,,,,,
,,plastic disc below flap layer 10x200x610,4.7306.0066,1,27,,5.7306.0017,,,,,,,,,,
,,window pane clamping unit 6x190x420,4.7306.0065,2,28,,5.7306.0017,,,,,,,,,,
,,binder flap layer (Fa. Wolf) 3x130x265,4.7306.0159,4,29,,5.7306.0017,,,,,,,,,,
,,"cover cassette conveyor 2x684x542,6",4.7306.0265,1,30,,5.7306.0017,,,,,,,,,,
,,"cover sheet cassette conveyor 2x637x729,5",4.7306.0346,1,31,,5.7306.0017,,,,,,,,,,
,,"cover sheet cassette conveyor 2x637x729,5",4.7306.0348,1,32,,5.7306.0017,,,,,,,,,,
,,ledge spoon inserter system 50x20x280,4.7306.0240,2,33,,5.7306.0017,,,,,,,,,,
,,collar bolts M6x15,3.0001.3904,34,100,,5.7306.0017,,,,,,,,,,
,,stopper bumper self-adhesive Best.-Nr.: 527760-05,3.0001.4491,4,101,,5.7306.0017,,,,,,,,,,
,,hinge 1056-U6,3.0000.0602,4,102,,5.7306.0017,,,,,,,,,,
,,bow - type handle GN 525 L=86,3.0000.0317,2,103,,5.7306.0017,,,,,,,,,,
,,cap nut M6 A2,3.0000.0099,87,104,,5.7306.0017,,,,,,,,,,
,,T-slot nut M6,3.0000.0045,87,105,,5.7306.0017,,,,,,,,,,
,,grub screw M6x25,3.0001.3034,87,106,,5.7306.0017,,,,,,,,,,
,product accurate in folding box,holder,4.7601.0026,1,1,,5.7601.0008,,,,,,,,,,
,,guide rod for sensor holder Ø12x300,4.7301.0790,1,2,,5.7601.0008,,,,,,,,,,
,,holder product accurate in folding box,4.6101.0011,1,3,,5.7601.0008,,,,,,,,,,
,,clamping block 25x25x50,4.4302.1567,1,4,,5.7601.0008,,,,,,,,,,
,,plug for square tube 30,3.0000.0512,1,100,,5.7601.0008,,,,,,,,,,
,,hexagonal nut M12,3.0000.0102,1,101,,5.7601.0008,,,,,,,,,,
,"HK-II-B-""k""-10""/L","frame HK-II-B 10""/L",5.7201.0311,1,1,,6.1003.0110,,,,,,,,,,
,,pneumatic lock,5.7301.0165,3,2,,6.1003.0110,,,,,,,,,,
,,pneumatic lock HK-II 2000,5.7301.0147,3,3,,6.1003.0110,,,,,,,,,,
,,pivot arm for operation panel 2000,5.6002.0044,1,4,,6.1003.0110,,,,,,,,,,
