NAMA MESIN,KATEGORI,DESCRIPTION SPAREPART,PART NUMBER,QTY,NO. IN MANUAL BOOK,KATEGORI,DOCUMENT,SUPPLIER,NAMA,KONTAK,EMAIL,ALAMAT,,,,,
,,"3"" CLAMP 316L",CL-SH-0300,1,4,,107-865-B,,,,,,,,,,
,,"1"" CLAMP 316L",CL-SH-0100,1,5,,107-865-B,,,,,,,,,,
,,"1"" CLAMP SEAL LIPPED WHT SILICONE",GK-BS-0100-SW,1,6,,107-865-B,,,,,,,,,,
,,"1"" HOSETAIL FERRULE",HT.100.100,1,7,,107-865-B,,,,,,,,,,
,,FILL LID SEAL,107-295,1,8,,107-865-B,,,,,,,,,,
,10_Ctrls BOM,Rittal 380x380x210 enclosure,AE1006.600,1,1,,1406770. BOM,,,,,,,,,,
,,Aspects Labels to schedule,Labels,1,2,,1406770. BOM,,,,,,,,,,
,,Matcon 1/4 Air Service Unit,566380,1,4,,1406770. BOM,,,,,,,,,,
,,On/off valve HE-D-MINI,170681,1,5,,1406770. BOM,,,,,,,,,,
,,Silencer U-1/8,2307,1,6,,1406770. BOM,,,,,,,,,,
